av0 (L=4.5e-08) X,av0 (L=4.5e-08) YRe,av0 (L=4.5e-08) YReImag,av0 (L=9e-08) X,av0 (L=9e-08) YRe,av0 (L=9e-08) YReImag,av0 (L=1.35e-07) X,av0 (L=1.35e-07) YRe,av0 (L=1.35e-07) YReImag,av0 (L=1e-06) X,av0 (L=1e-06) YRe,av0 (L=1e-06) YReImag
1e-09,-22.86259557562136,9.516836431947207,1e-09,-27.18461774842051,12.96781695395064,1e-09,-28.43725782596391,14.29212791268119,1e-09,-32.37988228116181,23.67372603686512
1.011062845513914e-09,-22.93186395250025,9.441359046566262,1.011062845513914e-09,-27.28865872036742,12.87542275027536,1.011062845513914e-09,-28.55582279919422,14.19532224532401,1.011062845513914e-09,-32.61022426368356,23.58719395890987
1.022248077578692e-09,-22.99958316045189,9.366332764097221,1.022248077578692e-09,-27.39055879796813,12.78327528515886,1.022248077578692e-09,-28.67203949308851,14.09862615802713,1.022248077578692e-09,-32.83752586382199,23.49901743116457
1.03355705013784e-09,-23.06614549391264,9.291360612223807,1.03355705013784e-09,-27.49089717380429,12.69089815248918,1.03355705013784e-09,-28.78656284816847,14.00154465531937,1.03355705013784e-09,-33.06297297498477,23.40878804810861
1.044991132113332e-09,-23.13155683804003,9.216463603898264,1.044991132113332e-09,-27.58967494358735,12.59832340777493,1.044991132113332e-09,-28.89939060744776,13.90411385225606,1.044991132113332e-09,-33.28651933366998,23.31655536989222
1.056551707571311e-09,-23.19582722997198,9.141657671084111,1.056551707571311e-09,-27.68689986016545,12.50557718414237,1.056551707571311e-09,-29.01052881355145,13.80636456258421,1.056551707571311e-09,-33.50813267247017,23.22236436209016
1.068240175889634e-09,-23.25896687712491,9.06695838851995,1.068240175889634e-09,-27.78258048463327,12.4126856139325,1.068240175889634e-09,-29.11998280257294,13.70832563498633,1.068240175889634e-09,-33.72778164041164,23.12625968822413
1.080057951927257e-09,-23.3209862016415,8.992380938296821,1.080057951927257e-09,-27.87672505036864,12.31967344010718,1.080057951927257e-09,-29.22775986088584,13.61002708629383,1.080057951927257e-09,-33.94543652283558,23.0282871825057
1.092006466195503e-09,-23.38189603760721,8.917940297482801,1.092006466195503e-09,-27.96934288286154,12.22656562884542,1.092006466195503e-09,-29.33386699866903,13.51149739568879,1.092006466195503e-09,-34.16106913451512,22.92849344176648
1.104087165031218e-09,-23.44170698977467,8.843650676437544,1.104087165031218e-09,-28.06044372932157,12.13338662084969,1.104087165031218e-09,-29.43831217367541,13.41276500348369,1.104087165031218e-09,-34.37465227259739,22.82692444037284
1.116301510771854e-09,-23.50043015889027,8.769526181912552,1.116301510771854e-09,-28.15003721528948,12.04015978393062,1.116301510771854e-09,-29.54110385805067,13.31385780280534,1.116301510771854e-09,-34.58616097004781,22.72362848646674
1.128650981932471e-09,-23.558076502514,8.695580266333922,1.128650981932471e-09,-28.23813387892475,11.9469085323493,1.128650981932471e-09,-29.64225073951149,13.2148028282572,1.128650981932471e-09,-34.79557038246438,22.61865120524745
1.141137073384717e-09,-23.61465714081891,8.621826014260531,1.141137073384717e-09,-28.32474462946447,11.85365575493661,1.141137073384717e-09,-29.74176226032594,13.1156268860896,1.141137073384717e-09,-35.00285819694958,22.512041113841
1.153761296537772e-09,-23.67018355453135,8.548276316404461,1.153761296537772e-09,-28.40988046767571,11.76042355497156,1.153761296537772e-09,-29.83964846067169,13.01635638011817,1.153761296537772e-09,-35.20800276674783,22.40384530336173
1.166525179521302e-09,-23.72466715909123,8.474943521919842,1.166525179521302e-09,-28.49355260164629,11.6672334004939,1.166525179521302e-09,-29.93591925980783,12.91701656111557,1.166525179521302e-09,-35.41098427152966,22.29411200475899
1.179430267370436e-09,-23.77811950465003,8.401839621620548,1.179430267370436e-09,-28.57577308869432,11.57410676842525,1.179430267370436e-09,-30.03058597903186,12.81763317216554,1.179430267370436e-09,-35.61178365849145,22.18288830600608
1.192478122212789e-09,-23.83055195909284,8.328976007651162,1.192478122212789e-09,-28.65655363717104,11.48106398560573,1.192478122212789e-09,-30.12365936210207,12.71823036478911,1.192478122212789e-09,-35.81038400809192,22.07022296734548
1.205670323457551e-09,-23.88197642131885,8.256364056919207,1.205670323457551e-09,-28.73590677436624,11.38812538381992,1.205670323457551e-09,-30.21515109956149,12.61883232948096,1.205670323457551e-09,-36.0067693023765,21.95616384403639
1.219008467986672e-09,-23.93240469390831,8.184014635851309,1.219008467986672e-09,-28.81384491275553,11.29531041869001,1.219008467986672e-09,-30.3050731106843,12.51946255823138,1.219008467986672e-09,-36.20092470579001,21.8407585016721
1.232494170348162e-09,-23.98184847861683,8.111938117976226,1.232494170348162e-09,-28.89038112268323,11.20263841373431,1.232494170348162e-09,-30.3934373864968,12.42014372045786,1.232494170348162e-09,-36.39283687127298,21.72405479552195
1.246129062951523e-09,-24.0303194737105,8.040144476867457,1.246129062951523e-09,-28.96552833246931,11.11012783422546,1.246129062951523e-09,-30.48025681479448,12.32089849409688,1.246129062951523e-09,-36.58249377233,21.60610051889367
1.259914796265353e-09,-24.07782967099174,7.968643519573692,1.259914796265353e-09,-29.03929970891684,11.01779666390134,1.259914796265353e-09,-30.56554432233065,12.22174873030733,1.259914796265353e-09,-36.76988468922183,21.48694336602478
1.273853039017131e-09,-24.12439094296192,7.89744458443431,1.273853039017131e-09,-29.11170890429777,10.92566263417544,1.273853039017131e-09,-30.64931286002785,12.12271547774348,1.273853039017131e-09,-36.95500002491083,21.36663060424483
