VS("/Vgs") X,VS("/Vgs") Y,Cgs X,Cgs Y,Cgd X,Cgd Y,Cgb X,Cgb Y
1e-09,0.2332005599063733,1e-09,1.878983126778776e-17,1e-09,1.821837410245471e-17,1e-09,9.095176125811027e-18
1.258925411794167e-09,0.241404007074725,1.258925411794167e-09,1.892784124891579e-17,1.258925411794167e-09,1.822404359574341e-17,1.258925411794167e-09,9.029517587392309e-18
1.584893192461114e-09,0.2496523858654771,1.584893192461114e-09,1.908919489636116e-17,1.584893192461114e-09,1.822846346205756e-17,1.584893192461114e-09,8.961479158962944e-18
1.99526231496888e-09,0.2579664494433868,1.99526231496888e-09,1.927729792566401e-17,1.99526231496888e-09,1.823152313015459e-17,1.99526231496888e-09,8.890527066332948e-18
2.511886431509581e-09,0.2663543899583951,2.511886431509581e-09,1.949571561090151e-17,2.511886431509581e-09,1.823308989840095e-17,2.511886431509581e-09,8.816190682663635e-18
3.16227766016838e-09,0.2748255257702507,3.16227766016838e-09,1.974842512357505e-17,3.16227766016838e-09,1.823301761737454e-17,3.16227766016838e-09,8.737951112387887e-18
3.981071705534974e-09,0.2833903351038777,3.981071705534974e-09,2.003985832916599e-17,3.981071705534974e-09,1.823114482040545e-17,3.981071705534974e-09,8.655237421008465e-18
5.011872336272725e-09,0.2920605854285789,5.011872336272725e-09,2.037495063226003e-17,5.011872336272725e-09,1.822729272940784e-17,5.011872336272725e-09,8.567421864068104e-18
6.309573444801935e-09,0.3008494633983738,6.309573444801935e-09,2.075919374064678e-17,6.309573444801935e-09,1.822126310635527e-17,6.309573444801935e-09,8.473814985608292e-18
7.943282347242819e-09,0.3097716996753687,7.943282347242819e-09,2.119869106975454e-17,7.943282347242819e-09,1.821283600938243e-17,7.943282347242819e-09,8.37366082769134e-18
1.000000000000001e-08,0.3188436788365253,1.000000000000001e-08,2.170021314584352e-17,1.000000000000001e-08,1.820176756528849e-17,1.000000000000001e-08,8.26613268111492e-18
1.258925411794168e-08,0.3280835197899372,1.258925411794168e-08,2.22712482753476e-17,1.258925411794168e-08,1.818778795244523e-17,1.258925411794168e-08,8.150330078682033e-18
1.584893192461115e-08,0.3375111058969729,1.584893192461115e-08,2.292004064624644e-17,1.584893192461115e-08,1.817059991029636e-17,1.584893192461115e-08,8.025278117968303e-18
1.995262314968881e-08,0.3471480363369129,1.995262314968881e-08,2.365560363662046e-17,1.995262314968881e-08,1.814987826509696e-17,1.995262314968881e-08,7.889930723207227e-18
2.511886431509582e-08,0.3570174616714432,2.511886431509582e-08,2.448769023591926e-17,2.511886431509582e-08,1.812527119429358e-17,2.511886431509582e-08,7.743180120796544e-18
3.162277660168382e-08,0.3671437585102192,3.162277660168382e-08,2.542669524257377e-17,3.162277660168382e-08,1.809640424072669e-17,3.162277660168382e-08,7.583875570627189e-18
3.981071705534977e-08,0.3775519936323943,3.981071705534977e-08,2.648345605739355e-17,3.981071705534977e-08,1.80628884036882e-17,3.981071705534977e-08,7.410855137934785e-18
5.011872336272729e-08,0.3882671320546529,5.011872336272729e-08,2.766891242840065e-17,5.011872336272729e-08,1.802433390056756e-17,5.011872336272729e-08,7.222994730989897e-18
6.30957344480194e-08,0.3993129639430908,6.30957344480194e-08,2.899358424093537e-17,6.30957344480194e-08,1.798037126195476e-17,6.30957344480194e-08,7.019278285196862e-18
7.943282347242825e-08,0.410710770877045,7.943282347242825e-08,3.046683635962287e-17,7.943282347242825e-08,1.793068106087003e-17,7.943282347242825e-08,6.798891150919663e-18
1.000000000000001e-07,0.4224778294165137,1.000000000000001e-07,3.209592790490018e-17,1.000000000000001e-07,1.787503249552193e-17,1.000000000000001e-07,6.561334689287629e-18
1.258925411794169e-07,0.4346259564699529,1.258925411794169e-07,3.388489565525964e-17,1.258925411794169e-07,1.78133290244814e-17,1.258925411794169e-07,6.306553411843583e-18
1.584893192461116e-07,0.4471604155901565,1.584893192461116e-07,3.583339513687223e-17,1.584893192461116e-07,1.774565637713561e-17,1.584893192461116e-07,6.035057408932881e-18
