cross(db(iout) 0) X,cross(db(iout) 0) Y
3.846624e-09,7612126.109355018
4.814964e-09,20202078.38052823
6.027071e-09,29323799.24185023
7.544312e-09,38114499.41584191
9.443498000000001e-09,47371476.28440863
1.182078e-08,57554976.77504162
1.479652e-08,68920370.68748355
1.852136e-08,81608943.15164
2.318388e-08,96501698.96725363
2.902013e-08,113970344.9843946
3.632559e-08,133698346.9168054
4.54701e-08,156215715.7771585
5.691664e-08,183605620.3396623
7.124469e-08,214280858.5217888
8.917966000000001e-08,248576323.9590352
1.116295e-07,290339775.7728574
1.397309e-07,336052145.5693771
1.749064e-07,387312822.8647557
2.189369e-07,447459005.1577888
2.740516e-07,510648996.5417352
3.430406e-07,585512386.9169987
4.293968e-07,665146907.0332435
5.374922e-07,753738939.5565379
6.727991e-07,851377158.5598445
8.42168e-07,956360026.0562075
1.054173e-06,1073563440.751982
1.319548e-06,1198674328.780432
1.651728e-06,1336481487.399369
2.06753e-06,1485607157.101974
2.588005e-06,1641261620.633647
3.239504e-06,1813799541.3216
4.055008e-06,1971135539.978704
5.075806e-06,2118951141.340236
6.353578e-06,2160673530.514246
7.953011999999999e-06,2016744898.329321
9.955084e-06,1800025960.61544
1.246115e-05,1800025960.61544
1.559809e-05,1800025960.61544
1.952472e-05,1800025960.61544
2.443982e-05,1800025960.61544
3.059225e-05,1800025960.61544
3.829347e-05,1800025960.61544
4.793337e-05,1800025960.61544
6e-05,1800025960.61544
