gm (L=4.5e-08) X,gm (L=4.5e-08) YRe,gm (L=4.5e-08) YReImag,gm (L=9e-08) X,gm (L=9e-08) YRe,gm (L=9e-08) YReImag,gm (L=1.35e-07) X,gm (L=1.35e-07) YRe,gm (L=1.35e-07) YReImag,gm (L=1e-06) X,gm (L=1e-06) YRe,gm (L=1e-06) YReImag
1e-09,2.842625602965679e-08,-1.106758973407244e-10,1e-09,3.079678436303483e-08,-1.106069949972689e-10,1e-09,3.118137178022728e-08,-1.105761859331304e-10,1e-09,2.987595454396889e-08,-1.132163563809817e-10
1.011062845513914e-09,2.873511142236859e-08,-1.106791355417803e-10,1.011062845513914e-09,3.113017007945173e-08,-1.106101103260225e-10,1.011062845513914e-09,3.151822337896695e-08,-1.105795212615091e-10,1.011062845513914e-09,3.018884894652774e-08,-1.13232106313493e-10
1.022248077578692e-09,2.904557642169052e-08,-1.106823603947404e-10,1.022248077578692e-09,3.146528023435313e-08,-1.106132136737717e-10,1.022248077578692e-09,3.185681060015947e-08,-1.105828448686235e-10,1.022248077578692e-09,3.050327193665475e-08,-1.132478236946986e-10
1.03355705013784e-09,2.935936991909411e-08,-1.106855896513252e-10,1.03355705013784e-09,3.180396306066569e-08,-1.10616322058623e-10,1.03355705013784e-09,3.219899684449994e-08,-1.105861749376995e-10,1.03355705013784e-09,3.082089940703711e-08,-1.132635917314869e-10
1.044991132113332e-09,2.967650819572895e-08,-1.106888231324428e-10,1.044991132113332e-09,3.214623575877681e-08,-1.106194353146673e-10,1.044991132113332e-09,3.254479931031197e-08,-1.1058951129586e-10,1.044991132113332e-09,3.114174534218888e-08,-1.132794096957814e-10
1.056551707571311e-09,2.999702643150541e-08,-1.106920608525345e-10,1.056551707571311e-09,3.249213577076259e-08,-1.106225534608601e-10,1.056551707571311e-09,3.289425555956794e-08,-1.105928539673638e-10,1.056551707571311e-09,3.146584146568953e-08,-1.132952777346633e-10
1.068240175889634e-09,3.032095995971686e-08,-1.106953028240165e-10,1.068240175889634e-09,3.28417006966298e-08,-1.106256765142514e-10,1.068240175889634e-09,3.324740331050661e-08,-1.105962029744463e-10,1.068240175889634e-09,3.179321961649553e-08,-1.133111959865314e-10
1.080057951927257e-09,3.064834447409085e-08,-1.106985490593853e-10,1.080057951927257e-09,3.31949685152142e-08,-1.106288044919891e-10,1.080057951927257e-09,3.360428065936552e-08,-1.105995583394526e-10,1.080057951927257e-09,3.21239119362905e-08,-1.133271645902876e-10
1.092006466195503e-09,3.097921603002968e-08,-1.107017995711947e-10,1.092006466195503e-09,3.355197758538876e-08,-1.106319374112976e-10,1.092006466195503e-09,3.396492608156116e-08,-1.106029200848147e-10,1.092006466195503e-09,3.245795087016848e-08,-1.133431836852374e-10
1.104087165031218e-09,3.131361104811869e-08,-1.107050543720571e-10,1.104087165031218e-09,3.391276664969109e-08,-1.106350752894792e-10,1.104087165031218e-09,3.432937843529456e-08,-1.106062882330524e-10,1.104087165031218e-09,3.279536916963321e-08,-1.133592534111028e-10
